"","genres","movie_title","director_name","content_rating","imdb_score","title_year","number"
"94","Comedy","The Watch ","Akiva Schaffer","R",5.7,2012,2
"95","Crime","Crash ","Paul Haggis","R",7.9,2004,2
"96","Crime","Jack Reacher ","Christopher McQuarrie","PG-13",7,2012,2
"97","Crime","Lucky Number Slevin ","Paul McGuigan","R",7.8,2006,2
"98","Crime","Mercury Rising ","Harold Becker","R",6.1,1998,2
"99","Crime","Murder by Numbers ","Barbet Schroeder","R",6.1,2002,2
"100","Crime","Point Break ","Ericson Core","PG-13",5.3,2015,2
"101","Crime","RoboCop ","José Padilha","PG-13",6.2,2014,2
"102","Crime","Sabotage ","David Ayer","R",5.7,2014,2
"103","Crime","Side Effects ","Steven Soderbergh","R",7.1,2013,2
"104","Crime","Snakes on a Plane ","David R. Ellis","R",5.6,2006,2
"105","Crime","Snatch ","Guy Ritchie","R",8.3,2000,2
"106","Crime","Stealing Harvard ","Bruce McCulloch","PG-13",5.1,2002,2
"107","Crime","The Gambler ","Rupert Wyatt","R",6,2014,2
"108","Crime","The Last House on the Left ","Dennis Iliadis","R",6.6,2009,2
"109","Crime","Trance ","Danny Boyle","R",7,2013,2
"110","Drama","Across the Universe ","Julie Taymor","PG-13",7.4,2007,2
"111","Drama","Aloha ","Cameron Crowe","PG-13",5.4,2015,2
"112","Drama","Brothers ","Jim Sheridan","R",7.1,2009,2
"113","Drama","Carrie ","Kimberly Peirce","R",5.9,2013,2
"114","Drama","Cinderella ","Kenneth Branagh","PG",7,2015,2
"115","Drama","Crash ","Paul Haggis","R",7.9,2004,2
"116","Drama","Crossroads ","Tamra Davis","PG-13",3.3,2002,2
"117","Drama","Dangerous Liaisons ","Stephen Frears","R",7.7,1988,2
"118","Drama","Disturbia ","D.J. Caruso","PG-13",6.9,2007,2
"119","Drama","Eddie the Eagle ","Dexter Fletcher","PG-13",7.5,2016,2
"120","Drama","Exodus: Gods and Kings ","Ridley Scott","PG-13",6.1,2014,2
"121","Drama","Footloose ","Herbert Ross","PG",6.5,1984,2
"122","Drama","Glory ","Edward Zwick","R",7.9,1989,2
"123","Drama","Hamlet ","Kenneth Branagh","PG-13",7.8,1996,2
"124","Drama","Juno ","Jason Reitman","PG-13",7.5,2007,2
"125","Drama","Left Behind ","Vic Armstrong","PG-13",3.1,2014,2
"126","Drama","Lucky Number Slevin ","Paul McGuigan","R",7.8,2006,2
"127","Drama","Mercury Rising ","Harold Becker","R",6.1,1998,2
"128","Drama","O ","Tim Blake Nelson","R",6.2,2001,2
"129","Drama","Precious ","Lee Daniels","R",7.3,2009,2
"130","Drama","Sabotage ","David Ayer","R",5.7,2014,2
"131","Drama","Side Effects ","Steven Soderbergh","R",7.1,2013,2
"132","Drama","Snakes on a Plane ","David R. Ellis","R",5.6,2006,2
"133","Drama","Snitch ","Ric Roman Waugh","PG-13",6.5,2013,2
"134","Drama","Syriana ","Stephen Gaghan","R",7,2005,2
"135","Drama","The Alamo ","John Lee Hancock","PG-13",6,2004,2
"136","Drama","The Astronaut's Wife ","Rand Ravich","R",5.3,1999,2
"137","Drama","The Claim ","Michael Winterbottom","R",6.5,2000,2
"138","Drama","The Day the Earth Stood Still ","Scott Derrickson","PG-13",5.5,2008,2
"139","Drama","The Full Monty ","Peter Cattaneo","R",7.2,1997,2
"140","Drama","The Gambler ","Rupert Wyatt","R",6,2014,2
"141","Drama","The Great Gatsby ","Baz Luhrmann","PG-13",7.3,2013,2
"142","Drama","The Illusionist ","Neil Burger","PG-13",7.6,2006,2
"143","Drama","The Jungle Book ","Jon Favreau","PG",7.8,2016,2
"144","Drama","The Karate Kid ","John G. Avildsen","PG",7.2,1984,2
"145","Drama","The Legend of Tarzan ","David Yates","PG-13",6.6,2016,2
"146","Drama","The Lovely Bones ","Peter Jackson","PG-13",6.7,2009,2
"147","Drama","The Twilight Saga: Breaking Dawn - Part 2 ","Bill Condon","PG-13",5.5,2012,2
"148","Drama","The Unborn ","David S. Goyer","PG-13",4.8,2009,2
"149","Drama","Trance ","Danny Boyle","R",7,2013,2
"150","Drama","Twilight ","Catherine Hardwicke","PG-13",5.2,2008,2
"151","Drama","Unbroken ","Angelina Jolie Pitt","PG-13",7.2,2014,2
"152","Drama","Wicker Park ","Paul McGuigan","PG-13",7,2004,2
"153","Family","Alice in Wonderland ","Tim Burton","PG",6.5,2010,2
"154","Family","Big Fat Liar ","Shawn Levy","PG",5.4,2002,2
"155","Family","Cinderella ","Kenneth Branagh","PG",7,2015,2
"156","Family","Goosebumps ","Rob Letterman","PG",6.4,2015,2
"157","Family","Oz the Great and Powerful ","Sam Raimi","PG",6.4,2013,2
"158","Family","The Jungle Book ","Jon Favreau","PG",7.8,2016,2
"159","Family","The Karate Kid ","John G. Avildsen","PG",7.2,1984,2
"160","Fantasy","Across the Universe ","Julie Taymor","PG-13",7.4,2007,2
"161","Fantasy","Alice in Wonderland ","Tim Burton","PG",6.5,2010,2
"162","Fantasy","Carrie ","Kimberly Peirce","R",5.9,2013,2
"163","Fantasy","Cinderella ","Kenneth Branagh","PG",7,2015,2
"164","Fantasy","Clash of the Titans ","Louis Leterrier","PG-13",5.8,2010,2
"165","Fantasy","Conan the Barbarian ","John Milius","R",6.9,1982,2
"166","Fantasy","Ghostbusters ","Paul Feig","PG-13",5.5,2016,2
"167","Fantasy","Goosebumps ","Rob Letterman","PG",6.4,2015,2
"168","Fantasy","Left Behind ","Vic Armstrong","PG-13",3.1,2014,2
"169","Fantasy","Oz the Great and Powerful ","Sam Raimi","PG",6.4,2013,2
"170","Fantasy","Poltergeist ","Tobe Hooper","PG",7.4,1982,2
"171","Fantasy","The Fog ","John Carpenter","R",6.8,1980,2
"172","Fantasy","The Jungle Book ","Jon Favreau","PG",7.8,2016,2
"173","Fantasy","The Lovely Bones ","Peter Jackson","PG-13",6.7,2009,2
"174","Fantasy","The Twilight Saga: Breaking Dawn - Part 2 ","Bill Condon","PG-13",5.5,2012,2
"175","Fantasy","The Unborn ","David S. Goyer","PG-13",4.8,2009,2
"176","Fantasy","Twilight ","Catherine Hardwicke","PG-13",5.2,2008,2
"177","History","Glory ","Edward Zwick","R",7.9,1989,2
"178","History","Hero ","Yimou Zhang","PG-13",7.9,2002,2
"179","History","The Alamo ","John Lee Hancock","PG-13",6,2004,2
"180","Horror","A Nightmare on Elm Street ","Wes Craven","X",7.5,1984,2
"181","Horror","Carrie ","Kimberly Peirce","R",5.9,2013,2
"182","Horror","Dawn of the Dead ","Zack Snyder","R",7.4,2004,2
"183","Horror","From Hell ","Albert Hughes","R",6.8,2001,2
"184","Horror","Goosebumps ","Rob Letterman","PG",6.4,2015,2
"185","Horror","Halloween II ","Rob Zombie","R",4.9,2009,2
"186","Horror","House of Wax ","Jaume Collet-Serra","R",5.3,2005,2
"187","Horror","My Soul to Take ","Wes Craven","R",4.8,2010,2
"188","Horror","Poltergeist ","Tobe Hooper","PG",7.4,1982,2
"189","Horror","The Fog ","John Carpenter","R",6.8,1980,2
"190","Horror","The Last House on the Left ","Dennis Iliadis","R",6.6,2009,2
"191","Horror","The Possession ","Ole Bornedal","PG-13",5.9,2012,2
"192","Horror","The Texas Chain Saw Massacre ","Tobe Hooper","R",7.5,1974,2
"193","Horror","The Unborn ","David S. Goyer","PG-13",4.8,2009,2
"194","Music","Footloose ","Herbert Ross","PG",6.5,1984,2
"195","Music","The Full Monty ","Peter Cattaneo","R",7.2,1997,2
"196","Musical","Across the Universe ","Julie Taymor","PG-13",7.4,2007,2
"197","Mystery","Disturbia ","D.J. Caruso","PG-13",6.9,2007,2
"198","Mystery","From Hell ","Albert Hughes","R",6.8,2001,2
"199","Mystery","Jack Reacher ","Christopher McQuarrie","PG-13",7,2012,2
"200","Mystery","Left Behind ","Vic Armstrong","PG-13",3.1,2014,2
"201","Mystery","Lucky Number Slevin ","Paul McGuigan","R",7.8,2006,2
"202","Mystery","Murder by Numbers ","Barbet Schroeder","R",6.1,2002,2
"203","Mystery","My Soul to Take ","Wes Craven","R",4.8,2010,2
"204","Mystery","The Gift ","Joel Edgerton","R",7.1,2015,2
"205","Mystery","The Illusionist ","Neil Burger","PG-13",7.6,2006,2
"206","Mystery","The Unborn ","David S. Goyer","PG-13",4.8,2009,2
"207","Mystery","Trance ","Danny Boyle","R",7,2013,2
"208","Mystery","Unknown ","Jaume Collet-Serra","PG-13",6.9,2011,2
"209","Mystery","Wicker Park ","Paul McGuigan","PG-13",7,2004,2
"210","Romance","Across the Universe ","Julie Taymor","PG-13",7.4,2007,2
"211","Romance","Aloha ","Cameron Crowe","PG-13",5.4,2015,2
"212","Romance","Chasing Liberty ","Andy Cadiff","PG-13",6.1,2004,2
"213","Romance","Cinderella ","Kenneth Branagh","PG",7,2015,2
"214","Romance","Dangerous Liaisons ","Stephen Frears","R",7.7,1988,2
"215","Romance","Footloose ","Herbert Ross","PG",6.5,1984,2
"216","Romance","Juno ","Jason Reitman","PG-13",7.5,2007,2
"217","Romance","O ","Tim Blake Nelson","R",6.2,2001,2
"218","Romance","Spider-Man 3 ","Sam Raimi","PG-13",6.2,2007,2
"219","Romance","The Claim ","Michael Winterbottom","R",6.5,2000,2
"220","Romance","The Great Gatsby ","Baz Luhrmann","PG-13",7.3,2013,2
"221","Romance","The Illusionist ","Neil Burger","PG-13",7.6,2006,2
"222","Romance","The Island ","Michael Bay","PG-13",6.9,2005,2
"223","Romance","The Legend of Tarzan ","David Yates","PG-13",6.6,2016,2
"224","Romance","The Tourist ","Florian Henckel von Donnersmarck","PG-13",6,2010,2
"225","Romance","The Twilight Saga: Breaking Dawn - Part 2 ","Bill Condon","PG-13",5.5,2012,2
"226","Romance","Twilight ","Catherine Hardwicke","PG-13",5.2,2008,2
"227","Romance","Wicker Park ","Paul McGuigan","PG-13",7,2004,2
"228","Sci-Fi","Dredd ","Pete Travis","R",7.1,2012,2
"229","Sci-Fi","Fantastic Four ","Josh Trank","PG-13",4.3,2015,2
"230","Sci-Fi","Ghostbusters ","Paul Feig","PG-13",5.5,2016,2
"231","Sci-Fi","Planet of the Apes ","Tim Burton","PG-13",5.7,2001,2
"232","Sci-Fi","RoboCop ","José Padilha","PG-13",6.2,2014,2
"233","Sci-Fi","Teenage Mutant Ninja Turtles ","Jonathan Liebesman","PG-13",5.9,2014,2
"234","Sci-Fi","The Astronaut's Wife ","Rand Ravich","R",5.3,1999,2
"235","Sci-Fi","The Avengers ","Joss Whedon","PG-13",8.1,2012,2
"236","Sci-Fi","The Day the Earth Stood Still ","Scott Derrickson","PG-13",5.5,2008,2
"237","Sci-Fi","The Island ","Michael Bay","PG-13",6.9,2005,2
"238","Sci-Fi","The Watch ","Akiva Schaffer","R",5.7,2012,2
"239","Sci-Fi","Total Recall ","Paul Verhoeven","R",7.5,1990,2
"240","Sci-Fi","TRON: Legacy ","Joseph Kosinski","PG",6.8,2010,2
"241","Sport","Dodgeball: A True Underdog Story ","Rawson Marshall Thurber","PG-13",6.7,2004,2
"242","Sport","Eddie the Eagle ","Dexter Fletcher","PG-13",7.5,2016,2
"243","Sport","Point Break ","Ericson Core","PG-13",5.3,2015,2
"244","Sport","The Karate Kid ","John G. Avildsen","PG",7.2,1984,2
"245","Sport","Unbroken ","Angelina Jolie Pitt","PG-13",7.2,2014,2
"246","Thriller","Brothers ","Jim Sheridan","R",7.1,2009,2
"247","Thriller","Casino Royale ","Martin Campbell","PG-13",8,2006,2
"248","Thriller","Crash ","Paul Haggis","R",7.9,2004,2
"249","Thriller","Dawn of the Dead ","Zack Snyder","R",7.4,2004,2
"250","Thriller","Disturbia ","D.J. Caruso","PG-13",6.9,2007,2
"251","Thriller","From Hell ","Albert Hughes","R",6.8,2001,2
"252","Thriller","Jack Reacher ","Christopher McQuarrie","PG-13",7,2012,2
"253","Thriller","Left Behind ","Vic Armstrong","PG-13",3.1,2014,2
"254","Thriller","Lucky Number Slevin ","Paul McGuigan","R",7.8,2006,2
"255","Thriller","Mercury Rising ","Harold Becker","R",6.1,1998,2
"256","Thriller","Murder by Numbers ","Barbet Schroeder","R",6.1,2002,2
"257","Thriller","My Soul to Take ","Wes Craven","R",4.8,2010,2
"258","Thriller","O ","Tim Blake Nelson","R",6.2,2001,2
"259","Thriller","Planet of the Apes ","Tim Burton","PG-13",5.7,2001,2
"260","Thriller","Point Break ","Ericson Core","PG-13",5.3,2015,2
"261","Thriller","RoboCop ","José Padilha","PG-13",6.2,2014,2
"262","Thriller","Sabotage ","David Ayer","R",5.7,2014,2
"263","Thriller","Side Effects ","Steven Soderbergh","R",7.1,2013,2
"264","Thriller","Skyfall ","Sam Mendes","PG-13",7.8,2012,2
"265","Thriller","Snakes on a Plane ","David R. Ellis","R",5.6,2006,2
"266","Thriller","Snitch ","Ric Roman Waugh","PG-13",6.5,2013,2
"267","Thriller","Syriana ","Stephen Gaghan","R",7,2005,2
"268","Thriller","The Astronaut's Wife ","Rand Ravich","R",5.3,1999,2
"269","Thriller","The Day the Earth Stood Still ","Scott Derrickson","PG-13",5.5,2008,2
"270","Thriller","The Gambler ","Rupert Wyatt","R",6,2014,2
"271","Thriller","The Gift ","Joel Edgerton","R",7.1,2015,2
"272","Thriller","The Illusionist ","Neil Burger","PG-13",7.6,2006,2
"273","Thriller","The Island ","Michael Bay","PG-13",6.9,2005,2
"274","Thriller","The Last House on the Left ","Dennis Iliadis","R",6.6,2009,2
"275","Thriller","The Lovely Bones ","Peter Jackson","PG-13",6.7,2009,2
"276","Thriller","The Possession ","Ole Bornedal","PG-13",5.9,2012,2
"277","Thriller","The Texas Chain Saw Massacre ","Tobe Hooper","R",7.5,1974,2
"278","Thriller","The Tourist ","Florian Henckel von Donnersmarck","PG-13",6,2010,2
"279","Thriller","The Unborn ","David S. Goyer","PG-13",4.8,2009,2
"280","Thriller","Trance ","Danny Boyle","R",7,2013,2
"281","Thriller","Unknown ","Jaume Collet-Serra","PG-13",6.9,2011,2
"282","Thriller","Wicker Park ","Paul McGuigan","PG-13",7,2004,2
"283","War","Glory ","Edward Zwick","R",7.9,1989,2
"284","War","The Alamo ","John Lee Hancock","PG-13",6,2004,2
"285","War","Unbroken ","Angelina Jolie Pitt","PG-13",7.2,2014,2
"286","Western","The Alamo ","John Lee Hancock","PG-13",6,2004,2
"287","Western","The Claim ","Michael Winterbottom","R",6.5,2000,2
"288","Action","12 Rounds ","Renny Harlin","PG-13",5.6,2009,1
"289","Action","13 Hours ","Michael Bay","R",7.4,2016,1
"290","Action","15 Minutes ","John Herzfeld","R",6.1,2001,1
"291","Action","16 Blocks ","Richard Donner","PG-13",6.6,2006,1
"292","Action","1911 ","Li Zhang","R",6,2011,1
"293","Action","2 Fast 2 Furious ","John Singleton","PG-13",5.9,2003,1
"294","Action","2 Guns ","Baltasar Kormákur","R",6.7,2013,1
"295","Action","2012 ","Roland Emmerich","PG-13",5.8,2009,1
"296","Action","21 Jump Street ","Phil Lord","R",7.2,2012,1
"297","Action","22 Jump Street ","Phil Lord","R",7.1,2014,1
"298","Action","3 Days to Kill ","McG","PG-13",6.2,2014,1
"299","Action","3 Ninjas Kick Back ","Charles T. Kanganis","PG",4.3,1994,1
"300","Action","30 Minutes or Less ","Ruben Fleischer","R",6.1,2011,1
"301","Action","300 ","Zack Snyder","R",7.7,2006,1
"302","Action","300: Rise of an Empire ","Noam Murro","R",6.2,2014,1
"303","Action","3000 Miles to Graceland ","Demian Lichtenstein","R",5.9,2001,1
"304","Action","47 Ronin ","Carl Rinsch","PG-13",6.3,2013,1
"305","Action","5 Days of War ","Renny Harlin","R",5.6,2011,1
"306","Action","9 ","Shane Acker","PG-13",7.1,2009,1
"307","Action","A Fistful of Dollars ","Sergio Leone","R",8,1964,1
"308","Action","A Good Day to Die Hard ","John Moore","R",5.3,2013,1
"309","Action","A Knight's Tale ","Brian Helgeland","PG-13",6.9,2001,1
"310","Action","A Low Down Dirty Shame ","Keenen Ivory Wayans","R",5.8,1994,1
"311","Action","A Man Apart ","F. Gary Gray","R",6.1,2003,1
"312","Action","A Most Violent Year ","J.C. Chandor","R",7,2014,1
"313","Action","A Nightmare on Elm Street 3: Dream Warriors ","Chuck Russell","X",6.6,1987,1
"314","Action","A Sound of Thunder ","Peter Hyams","PG-13",4.2,2005,1
"315","Action","A View to a Kill ","John Glen","PG",6.3,1985,1
"316","Action","Abduction ","John Singleton","PG-13",5,2011,1
"317","Action","Abraham Lincoln: Vampire Hunter ","Timur Bekmambetov","R",5.9,2012,1
"318","Action","Absolute Power ","Clint Eastwood","R",6.7,1997,1
"319","Action","Act of Valor ","Mike McCoy","R",6.5,2012,1
"320","Action","Action Jackson ","Craig R. Baxley","R",5.2,1988,1
"321","Action","Æon Flux ","Karyn Kusama","PG-13",5.5,2005,1
"322","Action","After Earth ","M. Night Shyamalan","PG-13",4.9,2013,1
"323","Action","After the Sunset ","Brett Ratner","PG-13",6.3,2004,1
"324","Action","Agent Cody Banks ","Harald Zwart","PG",5,2003,1
"325","Action","Agent Cody Banks 2: Destination London ","Kevin Allen","PG",4.5,2004,1
"326","Action","Air Force One ","Wolfgang Petersen","R",6.4,1997,1
"327","Action","Akira ","Katsuhiro Ôtomo","R",8.1,1988,1
"328","Action","Alex Cross ","Rob Cohen","PG-13",5.1,2012,1
"329","Action","Alex Rider: Operation Stormbreaker ","Geoffrey Sax","PG",5.1,2006,1
"330","Action","Alexander ","Oliver Stone","R",5.5,2004,1
"331","Action","Alien 3 ","David Fincher","R",6.4,1992,1
"332","Action","Alien: Resurrection ","Jean-Pierre Jeunet","R",6.3,1997,1
"333","Action","Aliens ","James Cameron","R",8.4,1986,1
"334","Action","Aliens vs. Predator: Requiem ","Colin Strause","R",4.7,2007,1
"335","Action","All About the Benjamins ","Kevin Bray","R",5.7,2002,1
"336","Action","All the Queen's Men ","Stefan Ruzowitzky","PG-13",4.5,2001,1
"337","Action","Allegiant ","Robert Schwentke","PG-13",5.8,2016,1
"338","Action","American Ninja 2: The Confrontation ","Sam Firstenberg","R",4.7,1987,1
"339","Action","American Outlaws ","Les Mayfield","PG-13",6,2001,1
"340","Action","American Sniper ","Clint Eastwood","R",7.3,2014,1
"341","Action","Anaconda ","Luis Llosa","PG-13",4.6,1997,1
"342","Action","Anacondas: The Hunt for the Blood Orchid ","Dwight H. Little","PG-13",4.6,2004,1
"343","Action","Ant-Man ","Peyton Reed","PG-13",7.4,2015,1
"344","Action","Antitrust ","Peter Howitt","PG-13",6.1,2001,1
"345","Action","Apocalypto ","Mel Gibson","R",7.8,2006,1
"346","Action","Aqua Teen Hunger Force Colon Movie Film for Theaters ","Matt Maiellaro","R",6.9,2007,1
"347","Action","Armageddon ","Michael Bay","PG-13",6.6,1998,1
"348","Action","Armored ","Nimród Antal","PG-13",5.7,2009,1
"349","Action","Assassins ","Richard Donner","R",6.3,1995,1
"350","Action","Assault on Precinct 13 ","Jean-François Richet","R",6.3,2005,1
"351","Action","Astro Boy ","David Bowers","PG",6.3,2009,1
"352","Action","Atlantis: The Lost Empire ","Gary Trousdale","PG",6.8,2001,1
"353","Action","Attack the Block ","Joe Cornish","R",6.6,2011,1
"354","Action","Austin Powers in Goldmember ","Jay Roach","PG-13",6.2,2002,1
"355","Action","Austin Powers: The Spy Who Shagged Me ","Jay Roach","PG-13",6.6,1999,1
"356","Action","Avatar ","James Cameron","PG-13",7.9,2009,1
"357","Action","Avengers: Age of Ultron ","Joss Whedon","PG-13",7.5,2015,1
"358","Action","AVP: Alien vs. Predator ","Paul W.S. Anderson","PG-13",5.6,2004,1
"359","Action","Baahubali: The Beginning ","S.S. Rajamouli","",8.4,2015,1
"360","Action","Babylon A.D. ","Mathieu Kassovitz","PG-13",5.6,2008,1
"361","Action","Bad Boys ","Michael Bay","R",6.8,1995,1
"362","Action","Bad Boys II ","Michael Bay","R",6.6,2003,1
"363","Action","Bad Company ","Joel Schumacher","PG-13",5.6,2002,1
"364","Action","Ballistic: Ecks vs. Sever ","Wych Kaosayananda","R",3.6,2002,1
"365","Action","Bangkok Dangerous ","Danny Pang","R",5.4,2008,1
"366","Action","Basic ","John McTiernan","R",6.5,2003,1
"367","Action","Batman ","Tim Burton","PG-13",7.6,1989,1
"368","Action","Batman & Robin ","Joel Schumacher","PG-13",3.7,1997,1
"369","Action","Batman Begins ","Christopher Nolan","PG-13",8.3,2005,1
"370","Action","Batman Forever ","Joel Schumacher","PG-13",5.4,1995,1
"371","Action","Batman Returns ","Tim Burton","PG-13",7,1992,1
"372","Action","Batman v Superman: Dawn of Justice ","Zack Snyder","PG-13",6.9,2016,1
"373","Action","Battle Los Angeles ","Jonathan Liebesman","PG-13",5.8,2011,1
"374","Action","Battlefield Earth ","Roger Christian","PG-13",2.4,2000,1
"375","Action","Battleship ","Peter Berg","PG-13",5.9,2012,1
